ano,mes,sigla_uf,id_municipio,id_municipio_6,cnae_2_secao,cnae_2_subclasse,cbo_2002,saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,salario_mensal,tipo_empregador,tipo_estabelecimento,tipo_movimentacao,tipo_deficiencia,indicador_trabalho_intermitente,indicador_trabalho_parcial,tamanho_estabelecimento_janeiro,indicador_aprendiz,origem_informacao,indicador_fora_prazo
2021,10,MS,5002704,500270,G,4744001,421125,-1,101,7,,,3,3,,0,1,40,0,0,0,5,0,1,0
2021,10,MS,5003751,500375,F,4313400,992225,-1,101,7,,,6,1,,0,1,31,0,0,0,6,0,1,0
2021,10,MS,5002704,500270,S,9430800,411005,-1,103,6,,,3,1,,0,1,43,0,0,0,10,1,1,0
2021,10,MS,5002209,500220,N,7911200,411010,1,101,6,,,1,1,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5005004,500500,C,1066000,784205,1,101,7,,,6,1,,0,1,97,0,0,0,6,0,1,0
2021,10,MS,5003702,500370,G,4520002,991315,-1,101,7,,,3,1,,0,1,31,0,0,0,2,0,1,0
2021,10,MS,5002704,500270,N,8219999,521140,1,101,7,,,3,3,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5000609,500060,I,5611203,421105,1,101,6,,,1,3,,0,1,97,0,0,0,3,0,1,0
2021,10,MS,5008305,500830,A,230600,632125,-1,101,7,,,3,3,,0,1,31,0,0,0,7,0,1,0
2021,10,MS,5000203,500020,A,151201,623110,-1,101,4,,,3,1,,0,1,31,0,0,0,5,0,1,0
2021,10,MS,5001904,500190,H,4922101,782405,1,111,7,,,6,1,,0,1,97,0,1,9,3,0,1,0
2021,10,MS,5006200,500620,C,2330302,823320,-1,101,4,,,3,1,,0,1,43,0,0,0,5,0,1,0
2021,10,MS,5003702,500370,N,8219999,351430,-1,999,7,,,9,1,,0,1,31,0,9,9,1,0,3,0
2021,10,MS,5007505,500750,F,4120400,710205,-1,101,7,,,6,1,,0,1,31,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,M,7112000,710205,-1,101,7,,,6,1,,0,4,31,0,0,0,1,0,1,0
2021,10,MS,5003702,500370,F,4399102,717020,-1,101,7,,,6,1,,0,1,40,0,0,0,5,0,1,0
2021,10,MS,5002951,500295,I,5510801,422120,-1,101,7,,,3,1,,0,1,43,0,0,0,3,0,1,0
2021,10,MS,5002704,500270,N,8220200,422310,1,101,7,,,3,3,,0,1,97,0,0,0,10,0,1,0
2021,10,MS,5006275,500627,G,4789099,783225,1,101,7,,,3,1,,0,1,97,0,0,0,3,0,1,0
2021,10,MS,5006408,500640,G,4644302,519110,-1,101,4,,,1,1,,0,1,31,0,0,0,3,0,1,0
2021,10,MS,5002704,500270,G,4744099,421125,-1,101,7,,,3,3,,0,1,31,0,0,0,1,0,1,0
2021,10,MS,5002951,500295,A,115600,622020,1,101,2,,,6,1,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,F,4120400,717020,-1,101,3,,,1,1,,0,1,31,0,0,0,5,0,1,0
2021,10,MS,5002704,500270,K,6550200,411005,-1,101,7,,,3,3,,0,1,31,0,0,0,9,0,1,0
2021,10,MS,5002704,500270,H,4921301,511205,1,101,7,,,3,1,,0,1,97,0,0,0,7,0,1,0
