ano,mes,competencia_movimentacao,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_1994,cbo_2002,cnae_1,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr,regiao_metropolitana_mte
2011,3,2011-02,PI,2211001,221100,01,01,02,01,0.0,44,5.8,1,0,,,0,00,45130,521110,52337,4782201,05,50,02,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,3,2011-02,PI,2211001,221100,01,01,02,03,0.0,44,5.4,1,0,,,0,00,79510,763210,18120,1412601,05,42,01,08,11,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,11,2010-04,SE,2800308,280030,02,01,04,01,8.0,44,5.12,-1,0,,,0,00,000-1,717020,45217,4120400,07,44,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,11,2010-07,SE,2806701,280670,02,01,04,04,9.0,44,6.14,-1,0,,,0,00,000-1,715405,45136,4313400,06,22,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,11,2010-08,SE,2800100,280010,01,03,02,04,0.0,44,7.65,1,0,,,0,00,000-1,716610,45217,4120400,07,24,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,11,2010-09,SE,2804300,280430,02,01,04,03,8.0,44,8.05,-1,0,,,0,00,000-1,715210,45217,4120400,04,55,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,11,2010-10,SE,2806503,280650,01,03,02,01,0.0,44,5.12,1,0,,,0,00,000-1,717020,45217,4120400,04,18,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,11,2010-10,SE,2801009,280100,01,01,02,01,0.0,44,5.12,1,0,,,0,00,000-1,717020,26417,2342702,03,32,01,08,02,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,12,2012-03,ES,3202405,320240,02,01,06,01,14.0,44,19.55,-1,0,,,0,00,06710,223405,52418,4771701,09,25,01,09,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,12,2012-08,ES,3202801,320280,02,01,04,03,36.0,44,8.3,-1,0,,,0,00,49030,848510,52124,4711302,06,43,01,02,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,12,2012-11,ES,3205002,320500,01,01,02,04,0.0,44,7.24,1,0,,,0,00,55125,517410,74705,8121400,07,56,01,08,21,,,,,,, 999,,  99, 999,  99,, 999,99,
