ano,mes,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_2002,cnae_1,cnae_2,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr
2007,9,PR,4103107,410310,01,01,02,01,0.0,44,528.0,1,0,,,0,,632120,000-1,47890,00000-1,03,25,01,08,16,0000,0000,0000,0000,0000,,999,,99,999,07,02,999,01
2007,9,PR,4120804,412080,02,01,04,05,6.0,44,465.0,-1,0,,,0,,782220,000-1,49302,00000-1,08,22,01,09,20,0000,0000,0000,0000,0000,,999,,99,999,07,02,999,01
2007,9,PR,4115200,411520,01,01,02,04,0.0,44,600.0,1,0,,,0,,724435,000-1,43223,00000-1,04,49,01,08,15,0000,0000,0000,0000,0000,,999,,99,999,13,04,999,08
2007,9,PR,4106902,410690,01,01,01,02,0.0,44,445.0,1,0,,,0,,521110,000-1,56112,00000-1,05,20,02,02,21,0000,0000,0000,0000,0000,,999,,99,999,07,02,999,01
2007,2,SP,3550308,355030,02,01,04,08,3.0,44,454.0,-1,0,,,0,,521120,000-1,82997,00000-1,07,26,02,02,19,1401,0000,0000,0001,0000,,013,,99,001,99,,046,99
2007,2,SP,3527108,352710,02,01,06,08,0.0,44,401.0,-1,0,,,0,,764115,000-1,15319,00000-1,07,23,02,02,12,9999,0000,0000,9999,0000,,003,,99,024,99,,005,99
2007,2,SP,3541604,354160,02,01,04,02,16.0,35,358.0,-1,0,,,0,,422105,000-1,47890,00000-1,07,20,01,02,16,9999,0000,0000,9999,0000,,003,,99,024,99,,006,99
2007,2,SP,3549904,354990,01,01,02,05,0.0,44,262.0,1,0,,,0,,224125,000-1,93123,00000-1,09,28,01,02,21,9999,0000,0000,9999,0000,,011,,99,007,99,,044,99
2007,2,SP,3554102,355410,01,01,02,09,0.0,44,480.0,1,0,,,0,,725105,000-1,82920,00000-1,05,18,02,02,19,9999,0000,0000,9999,0000,,011,,99,008,99,,051,99
2007,2,SP,3550308,355030,02,01,04,06,60.0,44,6442.0,-1,0,,,0,,317210,000-1,62040,00000-1,09,40,02,02,19,0134,0000,0000,0071,0000,,013,,99,001,99,,046,99
2007,2,SP,3509502,350950,01,01,02,01,0.0,44,373.0,1,0,,,0,,521110,000-1,47610,00000-1,06,18,01,02,16,9999,0000,0000,9999,0000,,004,,99,015,99,,009,99
2007,2,SP,3505609,350560,02,01,06,03,1.0,44,423.0,-1,0,,,0,,622110,000-1,01130,00000-1,04,27,01,04,25,9999,0000,0000,9999,0000,,010,,99,021,99,,047,99
2011,5,CE,2307601,230760,01,01,01,07,0.0,44,570.0,1,0,,,0,00,321105,01392,01334,0133402,07,28,01,08,25,,9999,,,0000,,999,,99,999,99,,999,99
2011,5,CE,2307650,230765,02,01,04,09,18.0,44,674.0,-1,0,,,0,00,784205,28339,25322,2532201,07,28,01,08, 3,,9999,,,0000,,999,,99,999,99,,999,99
2011,5,CE,2304400,230440,01,01,01,04,0.0,36,617.0,1,0,,,0,00,422105,70408,81125,8112500,08,25,02,02,21,,0046,,,0000,,999,,99,999,99,,999,99
2011,5,CE,2304400,230440,01,01,02,01,0.0,44,545.0,1,0,,,0,00,521110,52329,47814,4781400,06,41,02,02,16,,,,,0000,,999,,99,999,99,,999,99
2011,5,CE,2304400,230440,01,01,02,02,0.0,44,555.0,1,0,,,0,00,513435,55239,56201,5620103,07,23,01,09,21,,0032,,,0000,,999,,99,999,99,,999,99
2011,5,CE,2304400,230440,02,01,04,05,6.0,44,783.0,-1,0,,,0,00,421125,52299,47296,4729699,07,19,02,08,16,,0046,,,0000,,999,,99,999,99,,999,99
2008,3,BA,2918001,291800,02,01,04,02,57.0,44,415.0,-1,0,,,0,,514210,15423,10520,1052000,06,26,01,08,13,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,3,BA,2927408,292740,02,01,11,07,2.0,44,759.0,-1,0,,,0,,513405,74500,78205,7820500,07,25,01,08,19,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,3,BA,2919553,291955,01,01,02,01,0.0,44,415.0,1,0,,,0,,911120,50300,45307,4530703,01,36,01,08,16,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,3,BA,2919553,291955,01,01,02,05,0.0,44,415.0,1,0,,,0,,622020,01392,01334,0133499,04,21,01,08,25,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,3,BA,2925303,292530,02,01,11,04,3.0,44,699.0,-1,0,,,0,,513420,55131,55108,5510801,07,28,01,08,21,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,3,BA,2910800,291080,01,01,02,01,0.0,44,415.0,1,0,,,0,,517410,18120,14126,1412601,07,27,01,08,11,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2010,2,BA,2917300,291730,02,01,04,01,9.0,44,510.0,-1,0,,,0,00,521110,52337,47822,4782201,04,17,02,02,16,,,,,0000,,999,,99,999,99,,999,99
2010,2,BA,2927408,292740,02,01,04,04,8.0,44,692.0,-1,0,,,0,00,991315,50300,45307,4530701,07,32,01,08,16,,,,,0000,,999,,99,999,99,,999,99
2012,4,MS,5002951,500295,02,01,04,07,8.0,44,0.0,-1,0,,,0,00,721325,45250,42928,4292801,04,31,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2009,8,PE,2610707,261070,01,01,02,05,0.0,8,822.0,1,0,,,0,00,234505,80322,85325,8532500,09,24,01,08,23,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2009,8,PE,2611606,261160,01,01,02,07,0.0,44,540.0,1,0,,,0,00,519110,74993,63992,6399200,05,22,01,08,19,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2009,8,PE,2611606,261160,01,01,02,09,0.0,44,719.0,1,0,,,0,00,715210,45292,42995,4299599,03,36,01,02,15,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2009,8,PE,2606804,260680,01,01,02,09,0.0,44,475.0,1,0,,,0,00,622110,15610,10716,1071600,02,24,01,04,13,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,4,MG,3170107,317010,02,01,04,04,6.0,36,663.0,-1,0,,,0,,411005,000-1,47890,00000-1,05,41,02,02,16,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,4,MG,3106200,310620,02,01,04,06,56.0,44,821.0,-1,0,,,0,,517330,000-1,80111,00000-1,05,39,01,02,21,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,4,BA,2919207,291920,02,01,04,02,19.0,44,707.0,-1,0,,,0,,411005,21415,17419,1741902,07,29,01,02,8,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,4,BA,2922003,292200,02,01,06,04,3.0,44,415.0,-1,0,,,0,,622020,01619,01610,0161003,06,25,01,08,25,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,4,BA,2927408,292740,01,01,02,01,0.0,44,460.0,1,0,,,0,,717020,45233,42120,4212000,02,29,01,08,15,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,4,BA,2910800,291080,01,01,02,02,0.0,44,650.0,1,0,,,0,,782405,60267,49302,4930202,06,50,01,08,20,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2012,2,MS,5002704,500270,01,01,02,02,0.0,44,851.0,1,0,,,0,00,414105,45217,41204,4120400,07,33,01,02,15,,,,,0000,,999,,99,999,99,,999,99
2012,9,ES,3203205,320320,02,01,11,03,1.0,44,640.0,-1,0,,,0,00,411005,55212,56112,5611201,05,32,02,08,21,,,,,0000,,999,,99,999,99,,999,99
2012,9,ES,3202454,320245,02,03,11,01,3.0,44,650.0,-1,0,,,0,00,622610,01325,01342,0134200,01,33,01,08,25,,,,,0000,,999,,99,999,99,,999,99
2010,4,MS,5002902,500290,02,01,06,03,23.0,44,638.0,-1,0,,,0,00,513405,50504,47318,4731800,06,20,02,08,16,,,,,0000,,999,,99,999,99,,999,99
2010,4,MS,5002704,500270,01,01,01,03,0.0,40,610.0,1,0,,,0,00,521115,67199,66193,6619399,07,20,02,02,19,,,,,0000,,999,,99,999,99,,999,99
