ano,mes,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_2002,cnae_1,cnae_2,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr
2010,7,RN,2408102,240810,02,01,04,02,6.0,44,528.0,-1,0,,,0,00,513205,52132,47121,4712100,04,32,02,08,16,,,,,0000,,999,,99,999,99,,999,99
2010,7,RN,2412203,241220,01,01,01,01,0.0,44,516.0,1,0,,,0,00,513505,18120,14126,1412601,07,24,01,02,11,,,,,0000,,999,,99,999,99,,999,99
2010,7,RN,2408102,240810,01,01,02,05,0.0,44,697.0,1,0,,,0,00,516505,93033,96033,9603304,07,30,01,02,21,,,,,0000,,999,,99,999,99,,999,99
2010,7,RN,2408102,240810,02,01,06,04,2.0,44,459.0,-1,0,,,0,00,524105,65595,64930,6493000,07,38,01,02,18,,,,,0000,,999,,99,999,99,,999,99
2010,7,RN,2408102,240810,02,01,04,05,49.0,40,3610.0,-1,0,,,0,00,239410,85324,88006,8800600,09,37,02,08,21,,,,,0000,,999,,99,999,99,,999,99
2010,3,RO,1100205,110020,01,01,02,06,0.0,44,13448.0,1,0,,,0,00,214405,29696,33210,3321000,09,59,01,02, 4,,,,,0000,,999,,99,999,99,,999,99
2010,3,RO,1100205,110020,02,01,04,07,24.0,44,994.0,-1,0,,,0,00,731320,45330,42219,4221904,07,29,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2010,3,RO,1100205,110020,01,01,02,01,0.0,44,852.0,1,0,,,0,00,992225,20109,16102,1610201,05,35,01,08, 7,,,,,0000,,999,,99,999,99,,999,99
2010,3,RO,1100189,110018,02,01,06,05,3.0,44,672.0,-1,0,,,0,00,752305,26417,23427,2342702,04,20,01,08, 2,,,,,0000,,999,,99,999,99,,999,99
2010,3,RO,1100205,110020,02,01,06,05,14.0,44,524.0,-1,0,,,0,00,411005,52329,47814,4781400,07,22,02,02,16,,,,,0000,,999,,99,999,99,,999,99
2010,3,RO,1100205,110020,01,01,02,09,0.0,44,902.0,1,0,,,0,00,715505,45314,42219,4221901,03,22,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2010,3,RO,1100205,110020,01,01,02,09,0.0,44,1788.0,1,0,,,0,00,911305,45314,42219,4221901,07,56,01,08,15,,,,,0000,,999,,99,999,99,,999,99
