ano,mes,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_2002,cnae_1,cnae_2,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr
2012,10,MA,2111300,211130,02,01,04,08,19.0,44,638.0,-1,0,,,0,00,514320,74705,81214,8121400,07,38,02,08,21,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2111300,211130,01,01,02,08,0.0,44,638.0,1,0,,,0,00,514320,74705,81214,8121400,07,20,02,08,21,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2111300,211130,01,01,02,08,0.0,44,638.0,1,0,,,0,00,514320,74705,81214,8121400,07,20,02,08,21,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2111300,211130,01,01,01,06,0.0,44,622.0,1,0,,,0,00,252305,60232,49213,4921302,07,19,01,08,20,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2111300,211130,01,01,02,04,0.0,44,1001.0,1,0,,,0,00,715615,45217,41204,4120400,07,37,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2103174,210317,01,01,01,04,0.0,44,700.0,1,0,,,0,00,773110,20109,16102,1610201,02,26,01,08, 7,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2111300,211130,02,01,04,01,44.0,44,750.0,-1,0,,,0,00,515110,85154,86500,8650099,07,38,02,08,22,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2111300,211130,01,01,01,06,0.0,44,662.0,1,0,,,0,00,411005,45217,41204,4120400,07,18,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2111300,211130,01,01,02,06,0.0,44,700.0,1,0,,,0,00,783225,51535,46796,4679699,05,26,01,08,17,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2105302,210530,02,01,04,03,39.0,44,652.0,-1,0,,,0,00,422105,55212,56112,5611201,07,31,02,02,21,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2103505,210350,01,01,02,04,0.0,44,924.0,1,0,,,0,00,715210,45217,41204,4120400,07,41,01,02,15,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2103802,210380,02,01,04,08,25.0,44,622.0,-1,0,,,0,00,774105,51497,46494,4649404,05,34,01,08,17,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2101400,210140,01,01,02,01,0.0,44,622.0,1,0,,,0,00,412205,02119,02101,0210101,07,29,01,02,25,,,,,0000,,999,,99,999,99,,999,99
2012,10,MA,2111607,211160,02,01,04,09,8.0,44,1926.0,-1,0,,,0,00,621005,01139,01130,0113000,01,38,01,08,25,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800506,280050,01,01,01,01,0.0,44,651.0,1,0,,,0,00,521135,50504,47318,4731800,07,20,02,08,16,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2803500,280350,01,01,02,07,0.0,44,7000.0,1,0,,,0,00,950305,25291,22293,2229301,05,34,01,08,10,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800308,280030,02,01,04,08,6.0,44,635.0,-1,0,,,0,00,784205,29890,27597,2759799,05,40,01,02, 4,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800308,280030,01,01,02,05,0.0,33,920.0,1,0,,,0,00,782220,11207,09106,0910600,07,50,01,08,19,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800308,280030,01,01,02,07,0.0,40,1827.0,1,0,,,0,00,411010,80993,85996,8599699,09,31,02,08,23,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800308,280030,02,01,04,01,18.0,44,650.0,-1,0,,,0,00,422105,55220,56112,5611203,07,53,02,08,21,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800308,280030,01,01,02,04,0.0,44,622.0,1,0,,,0,00,521110,52493,47890,4789099,07,26,02,08,16,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800308,280030,01,01,02,07,0.0,44,945.0,1,0,,,0,00,715230,45217,41204,4120400,02,56,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2805505,280550,01,01,02,05,0.0,44,997.0,1,0,,,0,00,782405,60259,49299,4929902,05,30,01,08,20,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2806701,280670,01,01,02,03,0.0,44,622.0,1,0,,,0,00,717020,45217,41204,4120400,07,23,01,02,15,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800308,280030,02,01,04,06,7.0,44,637.0,-1,0,,,0,00,992225,74500,78205,7820500,06,33,01,08,19,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2801306,280130,01,03,02,07,0.0,44,637.0,1,0,,,0,00,622110,01139,01130,0113000,02,38,01,08,25,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800308,280030,01,01,02,02,0.0,44,622.0,1,0,,,0,00,410105,50300,45307,4530703,07,27,01,08,16,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800308,280030,01,01,02,06,0.0,44,622.0,1,0,,,0,00,813125,25224,22226,2222600,07,33,02,08,10,,,,,0000,,999,,99,999,99,,999,99
2012,9,SE,2800308,280030,01,01,02,01,0.0,44,622.0,1,0,,,0,00,521110,74403,73190,7319002,07,18,02,02,19,,,,,0000,,999,,99,999,99,,999,99
2012,5,RO,1100122,110012,01,01,02,05,0.0,44,863.0,1,0,,,0,00,717020,45136,43134,4313400,03,21,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2012,5,RO,1100205,110020,02,01,04,01,26.0,44,1090.0,-1,0,,,0,00,411005,70327,68218,6821802,07,25,01,02,19,,,,,0000,,999,,99,999,99,,999,99
2012,5,RO,1100205,110020,01,01,02,09,0.0,44,1260.0,1,0,,,0,00,715505,45314,42219,4221901,06,22,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2012,5,RO,1100205,110020,01,01,02,09,0.0,44,2384.0,1,0,,,0,00,992120,45314,42219,4221901,07,37,01,08,15,,,,,0000,,999,,99,999,99,,999,99
